sample	cell	drug	dose	time	tissue
786-0_5-Azacytidine_5000nM_24h	786-0	5-Azacytidine	5000nM	24h	Renal
A549_5-Azacytidine_5000nM_24h	A549	5-Azacytidine	5000nM	24h	Lung
BT-549_5-Azacytidine_5000nM_24h	BT-549	5-Azacytidine	5000nM	24h	Breast
CAKI-1_5-Azacytidine_5000nM_24h	CAKI-1	5-Azacytidine	5000nM	24h	Renal
CCRF-CEM_5-Azacytidine_5000nM_24h	CCRF-CEM	5-Azacytidine	5000nM	24h	Leukemia
DU-145_5-Azacytidine_5000nM_24h	DU-145	5-Azacytidine	5000nM	24h	Prostate
HCT-116_5-Azacytidine_5000nM_24h	HCT-116	5-Azacytidine	5000nM	24h	Colon
HOP-92_5-Azacytidine_5000nM_24h	HOP-92	5-Azacytidine	5000nM	24h	Lung
HS-578T_5-Azacytidine_5000nM_24h	HS-578T	5-Azacytidine	5000nM	24h	Breast
IGR-OV1_5-Azacytidine_5000nM_24h	IGR-OV1	5-Azacytidine	5000nM	24h	Ovarian
K-562_5-Azacytidine_5000nM_24h	K-562	5-Azacytidine	5000nM	24h	Leukemia
KM12_5-Azacytidine_5000nM_24h	KM12	5-Azacytidine	5000nM	24h	Colon
M14_5-Azacytidine_5000nM_24h	M14	5-Azacytidine	5000nM	24h	Melanoma
MALME-3M_5-Azacytidine_5000nM_24h	MALME-3M	5-Azacytidine	5000nM	24h	Melanoma
MCF7_5-Azacytidine_5000nM_24h	MCF7	5-Azacytidine	5000nM	24h	Breast
MDA-MB-435_5-Azacytidine_5000nM_24h	MDA-MB-435	5-Azacytidine	5000nM	24h	Melanoma
MDA-MB-468_5-Azacytidine_5000nM_24h	MDA-MB-468	5-Azacytidine	5000nM	24h	Breast
MOLT-4_5-Azacytidine_5000nM_24h	MOLT-4	5-Azacytidine	5000nM	24h	Leukemia
NCI-H23_5-Azacytidine_5000nM_24h	NCI-H23	5-Azacytidine	5000nM	24h	Lung
NCI-H322M_5-Azacytidine_5000nM_24h	NCI-H322M	5-Azacytidine	5000nM	24h	Lung
OVCAR-3_5-Azacytidine_5000nM_24h	OVCAR-3	5-Azacytidine	5000nM	24h	Ovarian
OVCAR-4_5-Azacytidine_5000nM_24h	OVCAR-4	5-Azacytidine	5000nM	24h	Ovarian
PC-3_5-Azacytidine_5000nM_24h	PC-3	5-Azacytidine	5000nM	24h	Prostate
RPMI-8226_5-Azacytidine_5000nM_24h	RPMI-8226	5-Azacytidine	5000nM	24h	Leukemia
RXF-393_5-Azacytidine_5000nM_24h	RXF-393	5-Azacytidine	5000nM	24h	Renal
SF-268_5-Azacytidine_5000nM_24h	SF-268	5-Azacytidine	5000nM	24h	CNS
SF-295_5-Azacytidine_5000nM_24h	SF-295	5-Azacytidine	5000nM	24h	CNS
SK-MEL-2_5-Azacytidine_5000nM_24h	SK-MEL-2	5-Azacytidine	5000nM	24h	Melanoma
SK-MEL-28_5-Azacytidine_5000nM_24h	SK-MEL-28	5-Azacytidine	5000nM	24h	Melanoma
SK-MEL-5_5-Azacytidine_5000nM_24h	SK-MEL-5	5-Azacytidine	5000nM	24h	Melanoma
SK-OV-3_5-Azacytidine_5000nM_24h	SK-OV-3	5-Azacytidine	5000nM	24h	Ovarian
SN12C_5-Azacytidine_5000nM_24h	SN12C	5-Azacytidine	5000nM	24h	Renal
SNB-75_5-Azacytidine_5000nM_24h	SNB-75	5-Azacytidine	5000nM	24h	CNS
T-47D_5-Azacytidine_5000nM_24h	T-47D	5-Azacytidine	5000nM	24h	Breast
TK-10_5-Azacytidine_5000nM_24h	TK-10	5-Azacytidine	5000nM	24h	Renal
U251_5-Azacytidine_5000nM_24h	U251	5-Azacytidine	5000nM	24h	CNS
UACC-257_5-Azacytidine_5000nM_24h	UACC-257	5-Azacytidine	5000nM	24h	Melanoma
UACC-62_5-Azacytidine_5000nM_24h	UACC-62	5-Azacytidine	5000nM	24h	Melanoma
UO-31_5-Azacytidine_5000nM_24h	UO-31	5-Azacytidine	5000nM	24h	Renal
786-0_bortezomib_100nM_24h	786-0	bortezomib	100nM	24h	Renal
A498_bortezomib_100nM_24h	A498	bortezomib	100nM	24h	Renal
A549_bortezomib_100nM_24h	A549	bortezomib	100nM	24h	Lung
ACHN_bortezomib_100nM_24h	ACHN	bortezomib	100nM	24h	Renal
BT-549_bortezomib_100nM_24h	BT-549	bortezomib	100nM	24h	Breast
CAKI-1_bortezomib_100nM_24h	CAKI-1	bortezomib	100nM	24h	Renal
COLO-205_bortezomib_100nM_24h	COLO-205	bortezomib	100nM	24h	Colon
DU-145_bortezomib_100nM_24h	DU-145	bortezomib	100nM	24h	Prostate
